wine,description,country,variety
Nicosia 2013 Vulkà Bianco  (Etna),"Aromas include tropical fruit, broom, brimstone and dried herb. The palate isn't overly expressive, offering unripened apple, citrus and dried sage alongside brisk acidity.",Italy,White Blend
Quinta dos Avidagos 2011 Avidagos Red (Douro),"This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's  already drinkable, although it will certainly be better from 2016.",Portugal,Portuguese Red
Rainstorm 2013 Pinot Gris (Willamette Valley),"Tart and snappy, the flavors of lime flesh and rind dominate. Some green pineapple pokes through, with crisp acidity underscoring the flavors. The wine was all stainless-steel fermented.",US,Pinot Gris
St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),"Pineapple rind, lemon pith and orange blossom start off the aromas. The palate is a bit more opulent, with notes of honey-drizzled guava and mango giving way to a slightly astringent, semidry finish.",US,Riesling
Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),"Much like the regular bottling from 2012, this comes across as rather rough and tannic, with rustic, earthy, herbal characteristics. Nonetheless, if you think of it as a pleasantly unfussy country wine, it's a good companion to a hearty winter stew.",US,Pinot Noir
Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),"Blackberry and raspberry aromas show a typical Navarran whiff of green herbs and, in this case, horseradish. In the mouth, this is fairly full bodied, with tomatoey acidity. Spicy, herbal flavors complement dark plum fruit, while the finish is fresh but grabby.",Spain,Tempranillo-Merlot
Terre di Giurfo 2013 Belsito Frappato (Vittoria),"Here's a bright, informal red that opens with aromas of candied berry, white pepper and savory herb that carry over to the palate. It's balanced with fresh acidity and soft tannins.",Italy,Frappato
Trimbach 2012 Gewurztraminer (Alsace),"This dry and restrained wine offers spice in profusion. Balanced with acidity and a firm texture, it's very much for food.",France,Gewürztraminer
Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),"Savory dried thyme notes accent sunnier flavors of preserved peach in this brisk, off-dry wine. It's fruity and fresh, with an elegant, sprightly footprint.",Germany,Gewürztraminer
Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.,France,Pinot Gris
Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),"Soft, supple plum envelopes an oaky structure in this Cabernet, supported by 15% Merlot. Coffee and chocolate complete the picture, finishing strong at the end, resulting in a value-priced wine of attractive flavor and immediate accessibility.",US,Cabernet Sauvignon
Leon Beyer 2012 Gewurztraminer (Alsace),"This is a dry wine, very spicy, with a tight, taut texture and strongly mineral character layered with citrus as well as pepper. It's a food wine with its almost crisp aftertaste.",France,Gewürztraminer
Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),"Slightly reduced, this wine offers a chalky, tannic backbone to an otherwise juicy explosion of rich black cherry, the whole accented throughout by firm oak and cigar box.",US,Cabernet Sauvignon
Masseria Setteporte 2012 Rosso  (Etna),"This is dominated by oak and oak-driven aromas that include roasted coffee bean, espresso, coconut and vanilla that carry over to the palate, together with plum and chocolate. Astringent, drying tannins give it a rather abrupt finish.",Italy,Nerello Mascalese
Mirassou 2012 Chardonnay (Central Coast),"Building on 150 years and six generations of winemaking tradition, the winery trends toward a leaner style, with the classic California buttercream aroma cut by tart green apple. In this good everyday sipping wine, flavors that range from pear to barely ripe pineapple prove approachable but not distinctive.",US,Chardonnay
Richard Böcking 2013 Devon Riesling (Mosel),"Zesty orange peels and apple notes abound in this sprightly, mineral-toned Riesling. Off dry on the palate, yet racy and lean, it's a refreshing, easy quaffer with wide appeal.",Germany,Riesling
Felix Lavaque 2010 Felix Malbec (Cafayate),"Baked plum, molasses, balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents, while the finish is mildly green in flavor, with respectable weight and balance.",Argentina,Malbec
Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),"Raw black-cherry aromas are direct and simple but good. This has a juicy feel that thickens over time, with oak character and extract becoming more apparent. A flavor profile driven by dark-berry fruits and smoldering oak finishes meaty but hot.",Argentina,Malbec
Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),"Desiccated blackberry, leather, charred wood and mint aromas carry the nose on this full-bodied, tannic, heavily oaked Tinto Fino. Flavors of clove and woodspice sit on top of blackberry fruit, then hickory and other forceful oak-based aromas rise up and dominate the finish.",Spain,Tempranillo Blend
Quiévremont 2012 Meritage (Virginia),"Red fruit aromas pervade on the nose, with cigar box and menthol notes riding in the back. The palate is slightly restrained on entry, but opens up to riper notes of cherry and plum specked with crushed pepper. This blend of Merlot, Cabernet Sauvignon and Cabernet Franc is approachable now and ready to be enjoyed.",US,Meritage
Quiévremont 2012 Vin de Maison Red (Virginia),"Ripe aromas of dark berries mingle with ample notes of black pepper, toasted vanilla and dusty tobacco. The palate is oak-driven in nature, but notes of tart red currant shine through, offering a bit of levity.",US,Red Blend
Acrobat 2013 Pinot Noir (Oregon),"A sleek mix of tart berry, stem and herb, along with a hint of oak and chocolate, this is a fair value in a widely available, drink-now Oregon Pinot. The wine oak-aged for six months, whether in neutral or re-staved is not indicated.",US,Pinot Noir
Baglio di Pianetto 2007 Ficiligno White (Sicilia),"Delicate aromas recall white flower and citrus. The palate offers passion fruit, lime and white peach with a hint of mineral alongside bright acidity.",Italy,White Blend
Bianchi 2011 Signature Selection Merlot (Paso Robles),"This wine from the Geneseo district offers aromas of sour plums and just enough cigar box to tempt the nose. The flavors are a bit flat at first, then the acidity and tension of sour cherries emerges in the midpalate, bolstered by some black licorice.",US,Merlot
Canicattì 2009 Aynat Nero d'Avola (Sicilia),"Aromas of prune, blackcurrant, toast and oak carry through to the extracted palate, along with flavors of black cherry and roasted coffee beans. Firm but drying tannins provide the framework.",Italy,Nero d'Avola
Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),"Oak and earth intermingle around robust aromas of wet forest floor in this vineyard-designated Pinot that hails from a high-elevation site. Small in production, it offers intense, full-bodied raspberry and blackberry steeped in smoky spice and smooth texture.",US,Pinot Noir
Stemmari 2013 Dalila White (Terre Siciliane),"Pretty aromas of yellow flower and stone fruit lead the nose. The bright palate offers yellow apple, apricot, vanilla and delicate notes of lightly toasted oak alongside crisp acidity.",Italy,White Blend
Stemmari 2013 Nero d'Avola (Terre Siciliane),"Aromas recall ripe dark berry, toast and a whiff of cake spice. The soft, informal palate offers sour cherry, vanilla and a hint of espresso alongside round tannins. Drink soon.",Italy,Nero d'Avola
Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),"Aromas suggest mature berry, scorched earth, animal, toast and anise. The palate offers ripe black berry, oak, espresso, cocoa and vanilla alongside dusty tannins.",Italy,Red Blend
Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),"Clarksburg is becoming a haven for Chenin Blanc in California. This bottling, using fruit sourced from several vineyards in the area, is balanced with just a trace of sweetness in the background (1% residual sugar). This is crisp, straightforward and blessed with notes of pear and lime. Drink it cold.",US,Chenin Blanc
Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages),"Red cherry fruit comes laced with light tannins, giving this bright wine an open, juicy character.",France,Gamay
Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia),"Merlot and Nero d'Avola form the base for this easy red wine that would pair with fettuccine and meat sauce or pork roast. The quality of the fruit is clean, bright and sharp.",Italy,Red Blend
Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia),"Part of the extended Calanìca series, this Grillo-Viognier blend shows aromas of honeysuckle and jasmine, backed by touches of cut grass and wild sage. In the mouth, it shows ripe yellow-fruit flavors.",Italy,White Blend
Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),"Rustic and dry, this has flavors of berries, currants, licorice and spices. Made from Cabernet Franc and Cabernet Sauvignon.",US,Red Blend
Envolve 2011 Sauvignon Blanc (Sonoma Valley),"This shows a tart, green gooseberry flavor that is similar to New Zealand Sauvignon Blanc. Other notes include tropical fruit, orange and honey. Unoaked, with a splash of Muscat, this has commendable dryness and acidity.",US,Sauvignon Blanc
Erath 2010 Hyland Pinot Noir (McMinnville),"As with many of the Erath 2010 vineyard designates, this is strongly herbal. The notes of leaf and herb create somewhat unripe flavor impressions, with a touch of bitterness on the finish. The fruit just passes the ripeness of sweet tomatoes.",US,Pinot Noir
Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),"White flower, lychee and apple aromas carry the mellow bouquet. The chunky-feeling palate bears powdery, sweet flavors of peach and melon, mixed with greener notes of grass and lime. The 80% Viognier component is typical of the warm climate: plump and oily, with a short finish. Chardonnay fills out the blend.",Chile,Viognier-Chardonnay
Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),"This concentrated Cabernet offers aromas of cured meat, dried fruit and rosemary. Barbecue spice and teriyaki sauce flavors give the wine a bold, chewy feel.",Italy,Cabernet Sauvignon
Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),"Inky in color, this wine has plump aromas of ripe fruit, blackberry jam and rum cake. On the palate, it is soft and smooth.",Italy,Primitivo
Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),"Part of the natural wine movement, this wine is made from organic grapes, and the label is printed with vegetable ink on recycled paper. The quality of fruit is very nice, with a juicy palate and a bright berry flavor on the finish.",Italy,Nero d'Avola
Feudo Montoni 2011 Catarratto (Sicilia),"Catarratto is one of Sicily's most widely farmed white grape varieties. This expression shows a mineral note, backed by citrus and almond blossom touches.",Italy,Catarratto
Hawkins Cellars 2009 Pinot Noir (Willamette Valley),"A stiff, tannic wine, this slowly opens and brings brambly berry flavors into play, along with notes of earthy herbs. There's a touch of bitterness to the tannins.",US,Pinot Noir
Henry Fessy 2012 Nouveau  (Beaujolais),"This is a festive wine, with soft, ripe fruit and acidity, plus a red berry flavor.",France,Gamay
Robert Hall 2011 Sauvignon Blanc (Paso Robles),"The clean, brisk mouthfeel gives this slightly oaked Sauvignon Blanc instant likeability. It's dry with a rich streak of honey that sweetens the citrus, pear and tropical fruit flavors. Pair this with Asian fare, ham or a green salad with grapefruit sections.",US,Sauvignon Blanc
Sundance 2011 Merlot (Maule Valley),"A berry aroma comes with cola and herb notes. The palate is tangy and racy, and it delivers raspberry and plum flavors, with a modest finish.",Chile,Merlot
Tarara 2010 #SocialSecret Red (Virginia),"Right out of the starting blocks this is an oaky wine, dripping with caramel and vanilla notes. The texture on the midpalate is finessed and graceful, with drying tannins that latch onto the oak-driven finish. An eccentric blend of 50% Tannat, 35% Petit Verdot and 15% Pinotage.",US,Red Blend
Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),"Spicy, fresh and clean, this would pair with fried seafood or spaghetti con vongole. It offers pretty citrus tones followed by a drying mineral nuance.",Italy,Inzolia
The White Knight 2011 Riesling (Lake County),"This is a sweet wine with flavors of white sugar, orange, honey and vanilla, all brightened by crisp acidity.",US,Riesling
Trump 2011 Sauvignon Blanc (Monticello),"This bottling resembles the New Zealand paradigm of Sauvignon Blanc, bearing aromas of grapefruit, passion fruit and kiwi; a sprinkling of graham cracker adds interest. The wine hits the palate like a fleshy fist, with an intense, grassy gooseberry flavor that provides plenty of punch. Pair with apricot-glazed roasted chicken.",US,Sauvignon Blanc
Vignerons de Bel Air 2011 Eté Indien  (Brouilly),"Soft and fruity, this is a generous, ripe wine that's full of juicy red-cherry fruits and gentle tannins. It has some richness, giving a sweet character to this open, ready-to-drink wine.",France,Gamay
Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),"This blend of Nero d'Avola and Syrah opens with savory aromas of cured meat, dried berry, cassis, tobacco and wet earth. There's a touch of almond bitterness on the finish.",Italy,Red Blend
Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley),"This is much different than Casa Silva's 2009 Petit Verdot, which was tasted in the same flight. The '08 is more hard, spicy and tarry, with a leafy, herbal aroma, plus some grittiness. The palate feels snappy, with a can't-miss saltiness. The finish is long in length but short on fruit, with a raw feel.",Chile,Petit Verdot
Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),"The Monica grape often shows a rustic or raw quality, with aromas of cherry cola, black pepper and sour fruit. This expression does just that, with an added touch of bright acidity on the finish.",Italy,Monica
Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc),"Fruity and lightly herbaceous, this has fine textured acidity along with a pink grapefruit flavor. The wine is bright and easy, and it will be ready to drink in a few months.",France,Bordeaux-style White Blend
Corvo 2010 Rosso Red (Sicilia),"A blend of Nero d'Avola and Nerello Mascalese, this delivers forest berry and cola, with blue flower and dusty mineral accents. The palate is easy, bright and lean.",Italy,Red Blend
RustRidge 2010 Estate Bottled Chardonnay (Napa Valley),"This shows jelly-like flavors of orange and pear, with some earthy tones. The mouthfeel is soft and there's a bounty of oak in the form of buttered toast and caramel notes.",US,Chardonnay
Souverain 2010 Chardonnay (North Coast),"This is weighty, creamy and medium to full in body. It has plenty of lime and pear flavors, plus slight brown sugar and vanilla notes.",US,Chardonnay
Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia),"There's a touch of toasted almond at the start, but then this Grillo revs up in the glass to deliver notes of citrus, stone fruit, crushed stone and lemon tart. The mouthfeel is crisp and simple.",Italy,Grillo
Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley),"Lightly herbal strawberry and raspberry aromas are authentic and fresh. On the palate, this is light and juicy, with snappy, lean flavors of red fruit and dry spice. The finish is dry and oaky.",Chile,Pinot Noir
Mellisoni 2014 Malbec (Columbia Valley (WA)),"Aromas of cranberry, barrel spice and herb are followed by tart cranberry flavors with grainy tannins. It falls a bit flat and the variety seems hard to discern.",US,Malbec
Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),"Syrupy and dense, this wine is jammy in plum and vanilla, with indeterminate structure and plenty of oak. Ripe and full-bodied, it has accents of graphite and leather.",US,Cabernet Sauvignon
Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),This densely hued wine has aromas of black plum and vanilla that carry over to the simple palate along with a touch of cedar. Pliant tannins give it an easygoing nature. Drink soon.,Italy,Sangiovese
Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),"The aromas are brooding, with notes of barrel spice and cherry. The flavors are tart and elegant in style, with lightly gritty tannins backing them up. Best suited to the dinner table.",US,Cabernet Franc
Roland Champion NV Brut Rosé  (Champagne),"This fat, yeasty Champagne is comprised predominantly of Pinot Noir. It has ripe red berry fruit, light acidity and a soft, creamy aftertaste. It's ready to drink.",France,Champagne Blend
Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),"There are intriguing touches to the nose of this bottling, with jasmine, sea salt, wet hay, quinine and rainy sidewalk. The structure on the sip is quite delicate, with golden apple and honey flavors.",US,Sauvignon Blanc
Simonnet-Febvre 2015  Chablis,"From the warm 2015 vintage, this is a soft and fruity wine. It's open with broad white fruit flavors, the acidity lighter than usual for Chablis, giving it a particularly ripe character. Drink now.",France,Chardonnay
Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine,"This soft, rounded wine is ripe with generous pear and melon flavors. It's easy and ready to drink young for its smooth, attractively ripe character.",France,Chardonnay
Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),"A blend of Merlot and Cabernet Franc, this wine brings disjointed lightly volatile aromas of wood spice, vanilla and cherry. The plump cherry flavors are rounded out by woody barrel notes.",US,Bordeaux-style Red Blend
Cocobon 2014 Red (California),"Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.",US,Red Blend
Collet NV Brut Rosé  (Champagne),"This cooperative, based in Aÿ, has benefited from the fine Pinot Noir in the village to produce a ripe red fruited wine. With balanced acidity and a soft aftertaste, it is ready to drink.",France,Champagne Blend
Drumheller 2014 Chardonnay (Columbia Valley (WA)),"Aromas of vanilla, char and toast lead to light creamy stone fruit and canned-corn flavors. It provides appeal but the oak seems overweighted.",US,Chardonnay
Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),"Big oak defines this robustly dense and extracted red, swimming in vanilla and cherry flavor. Full-bodied and gravelly in texture, it's a rustically pleasant wine for pizza nights and crowds.",US,Cabernet Sauvignon
Grifalco 2013 Daginestra  (Aglianico del Vulture),"Aromas of black-skinned fruit, leather, underbrush, game and a briny note all carry over to the lean, somewhat disjointed palate along with suggestions of licorice and raw red cherry. Grainy tannins leave a drying finish.",Italy,Aglianico
Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),"Juicy plum, raspberry and pencil lead lead the way in this vineyard designate, a site that's 2,000 feet high. Tobacco and cedar meet a full-bodied hit of oak and puckering tannin, the wine still youthfully wrapped in its full-bodied boldness.",US,Cabernet Sauvignon
Hindsight 2012 Estate Grown Petite Sirah (Calistoga),This is the producer's first release of this wine. Fruity aromas of plum and tart cranberry add to its overall sense of lightness and understatement.,US,Petite Sirah
Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),"This is made from equal parts Cabernet Franc and Merlot, with small additions of Malbec. Juicy, it reveals a raisiny quality of ripeness around integrated oak and generous tannin.",US,Bordeaux-style Red Blend
Schmitt Söhne 2015 Riesling (Rheinhessen),"Earthy pollen and mineral notes lend a savory tone to this medium-sweet Riesling. It's soft and slightly pulpy, intensified by overripe tangerine and stone fruit flavors. Drink now through 2018.",Germany,Riesling
Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),"This medium-bodied Chardonnay features aromas of pineapple and roasted cashew. Similar notes of ripe pineapple and nuts mark the palate, then ease to a rather soft, easy finish. Drink now.",Australia,Chardonnay
Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills),"Some rosés are made simply by bleeding the juice from the fermenter, to concentrate the remaining wine. Whether or not that is the case here, the wine has the simple pleasant lightly candied strawberry flavors one might expect from such a technique. It's fruity and undemanding. Drink up.",US,Pinot Noir
Adega Cooperativa do Cartaxo 2014 Bridão Touriga Nacional (Tejo),"Grown on the sandy soil of Tejo, the wine is typically soft and open. It is very accessible—with black fruits and light tannins for this grape. It is ready to drink.",Portugal,Touriga Nacional
Aresti 2014 Special Release Reserva Carmenère (Rapel Valley),"Caramelized oak and vanilla aromas are front and center on a barrel-heavy nose. This feels a bit choppy, with astringent tannins. Herbal salty plum flavors wear a lot of oaky makeup, while this finishes with a forced woody flavor.",Chile,Carmenère
Spyro 2014 Albariño (Rías Baixas),"Bland, mature aromas of white fruits are on the weak side for Albariño. This feels round and oily, while briny leesy flavors lack pop and precision. A grabby aged finish is short on the free flow that this grape and region are known for. Drink immediately or wait for a newer vintage.",Spain,Albariño
Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France),"This fruity, sweet wine is immediately attractive and ripe. With its great apricot and pineapple fruit, hints of spicy wood and balancing acidity, it's perfect as an apéritif—light and refreshing. Drink now.",France,Petit Manseng
Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale),"Pale copper in hue, this wine exudes passion fruit on the nose, while the palate delivers nuances of muskmelon as well. It's crisp, racy and medium in body, perfectly suited to summertime refreshment. Drink now.",Australia,Rosé
Napa Cellars 2014 Classic Zinfandel (Napa Valley),"A healthy addition of 13% Petite Sirah provides added weight and intensity to this wine, a soft, supple and richly conceived combination of smoky black fruit and mocha.",US,Zinfandel
P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),"Pronounced dust, pollen and earth tones lend savoriness to this otherwise citrusy wine. Racy acidity and fresh tangerine and lemon flavors turn herbal on the finish. Drink now.",Germany,Riesling
Palencia 2016 Albariño (Ancient Lakes),"Vibrant aromas of ripe pear, white flowers and melon are followed by a just off-dry palate, with lean fruit flavors.",US,Albariño
Passaggio 2014 Blau Vineyards Merlot (Knights Valley),"Softened tannins surround a light-bodied, lean and herbal approach to this vineyard-designate, dotted in black pepper, leather and baked cherry.",US,Merlot
Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano),"Subdued aromas of French oak, toast and acacia waft out of the glass. The rather lean palate offers oak-driven spice, chopped herb and a hint of citrus set against racy acidity. It's rather shy on fruit richness.",Italy,Vernaccia
Fattoria Sardi 2015 Rosato (Toscana),"Made primarily from Sangiovese, with some Malvasia and other white grapes, this offers aromas of red berry and a yeasty whiff of bread dough. The bright, enjoyable palate offers ripe cherry and hint of pastry cream while a note of honeydew melon marks the close.",Italy,Rosato
Ferrari-Carano 2014 Siena Red (Sonoma County),"This blend of Sangiovese, Malbec, Cabernet Sauvignon, Petite Sirah and other varieties plays well to type. It shows a wealth of ripe, dusty black fruit that's richly round and soft on the palate, approachable and lightly oaked.",US,Red Blend
Folie à Deux 2015 Pinot Gris (Sonoma Coast),"This wine has a touch of perceptible sweetness on its tropical nose, yet tastes dry, showing a straightforward approach to this crisp, coastal-grown variety. Apricot, melon and guava wrap around a lightness of body and texture.",US,Pinot Gris
Franciscan 2013 Magnificat Meritage (Napa Valley),"All red Bordeaux varieties are represented in this blend, except for Petit Verdot. Together, they offer a simple tannic structure that strengthens a chewiness of leather, tobacco and a touch of cedar. Full bodied, it's a ripe, bold and brawny wine.",US,Meritage
Fuchs 2015 Grüner Veltliner (Burgenland),"Freshness characterizes the nose: green pear, ivy leaves and citrus notes play on nose and palate. This is light footed, easy drinking and charming. Drink soon while flavors are fresh.",Austria,Grüner Veltliner
Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),"Barrel notes are prominent, with aromas of Creamsicle and baking spice. The palate is broad and dry with stone-fruit and barrel flavors. It provides intrigue but the wood seems to get in the way at times.",US,Viognier
Henry Fessy 2015  Juliénas,"This is a dense wine, packed with both tannins and acidity. It brings out the ageworthiness of this appellation with its rich potential and dark mineral texture. Drink this concentrated cru wine from 2018.",France,Gamay
Henry Fessy 2015  Régnié,"The wine comes from one of the cru estates followed by this negociant house. It is a light, ripe and fruity wine. With its attractive red-berry flavors, finished with crisp acidity, it is accessible and ready to drink.",France,Gamay
Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),A wisp of bramble extends a savory tone from nose to finish on this otherwise bright bristling wine. Delicate honey tones register as off dry on the palate but balance neatly alongside flavors of freshly pressed apples and pears. The finish is marked by a touch of pencil lead. Drink now through 2020.,US,Riesling
Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),"Forest floor, menthol, espresso, cranberry and pressed violet aromas take shape in the glass. The lean linear palate shows dried sour cherry, licorice and coffee bean alongside assertive close-grained tannins. Even though the tannins are still firm, drink sooner rather than later to capture the remaining fruit.",Italy,Sangiovese
Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),"This blends 20% each of all five red-Bordeaux varieties, showing grapy, plummy flavor that's juicy and soft on the palate. With a core of tobacco, tar and graphite, it complements the fruity with the savory, ending simply and elegantly.",US,Bordeaux-style Red Blend
Ventosa 2015 Pinot Gris (Finger Lakes),"Fresh apple, lemon and pear flavors are accented by a hint of smoked nuts in this bold, full-bodied Pinot Gris. Rich and a bit creamy in mouthfeel yet balanced briskly, it's a satisfying white with wide pairing appeal. Drink now through 2019.",US,Pinot Gris
Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes),"Dusty mineral, smoke and struck flint lend a savory tone to this lean light-bodied Riesling. Off dry in style, the palate offers delicately concentrated flavors of red apple and nectarine off set by tangerine acidity. Drink now through 2021.",US,Riesling
Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling (Finger Lakes),Intensely smoky tones of struck flint and ash extend throughout this otherwise bright nimble Riesling. The palate boasts freshly pressed apple and pear flavors accentuated by zippy lemon-lime acidity. Drink now through 2021.,US,Riesling
Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),"A bright nose with green apple and citric aromas comes with mild oak. This is acidic and racy in composition, with roundness along the edges of the palate. Apple and nectarine flavors are lightly oaked and salty, while this holds form on a high-acid finish.",Chile,Chardonnay
Madonna Alta 2014 Nativo Red (Toscana),"Made with 65% Sangiovese, 20% Merlot and 15% Cabernet Sauvignon, this has subtle aromas of black-skinned fruit and thyme. The easygoing palate delivers black cherry and cinnamon alongside smooth tannins.",Italy,Red Blend
Marchesi Antinori 2015 Villa Antinori White (Toscana),"Made predominantly with Trebbiano and Malvasia, along with Pinot Bianco, Pinot Grigio and Riesling Renano, this has inviting aromas of ripe orchard fruit and citrus. The round fruity palate doles out ripe apricot, orange zest and juicy pineapple.",Italy,White Blend
Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),"A blend of Cabernet Sauvignon, Merlot, Cabernet Franc and Sangiovese, this pleasant red has aromas of dark-skinned fruit, toast and a whiff of espresso. The light-bodied, straightforward palate offers cherry, red currant and a hint of light spice alongside zesty acidity and polished tannins.",Italy,Red Blend
Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana),"Aromas of yellow stone fruit, white spring flower and a whiff of citrus lift out of the glass. The soft round palate offers ripe apricot, yellow peach and a hint of candied nectarine zest.",Italy,Vermentino
Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley),"Lots of spearmint, coyote mint, hot licorice, ginger snaps and Dr Pepper spice up the strawberry fruit of this wine that provides a very herbal take on the grape. Oregano, marjoram, thyme and dill all make a showing on the sip, against a backbone of sweet cherry and blackberry fruit, finishing on cedar.",US,Zinfandel
Ornellaia 2014 Le Volte Red (Toscana),"An easy-drinking blend of Merlot, Sangiovese and Cabernet Sauvignon, this opens with aromas of red berry, toast, herb and roasted coffee bean. The soft palate offers black cherry, mocha and a hint of coffee alongside bright acidity and silky tannins. Drink now.",Italy,Red Blend
Pardon et Fils 2015 Les Quartelets  (Brouilly),"Produced from cru vines at the base of Mount Brouilly, the wine has structure as well as ripe black-plum fruits. It is generous and its fruit is well balanced by acidity and solid tannins. The wines is ready to drink.",France,Gamay
Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),"This 100% varietal wine opens in a heady aroma of leather pouch, clove and marshmallow. Both herbaceous and tannic, it begs for more time in the bottle or substantial swirling in the glass.",US,Cabernet Sauvignon
Podere Ciona 2014 Semifonte Red (Toscana),"Made with 90% Merlot and 10% Alicante, this easygoing red opens with delicate aromas suggesting red currant and baking spice. The straightforward palate delivers red plum and clove alongside soft tannins. Enjoy soon.",Italy,Red Blend
